objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587724197204394153,0.890026,0.403076,0.299008,0.331529,-1645.86035,-210.57901,-1.320887E4,4.951848,1.664027,11.042192,2.340175,41.359791
587724197204394208,0.788246,0.444597,0.199724,0.234966,-63.666321,-474.341461,-5485.94775,6.620816,2.833921,83.551315,2.154543,1.924879
587724197204459652,1.080187,0.465319,0.935865,0.914621,-2973.27393,-215.179611,-1.288494E4,9.835402,2.973648,10.468073,2.389107,13.431828
587724197204525117,0.31271,0.291225,0.669553,0.679573,-233.87709,-56.535126,-3316.77954,4.030444,1.508677,9.817997,2.372873,1.907245
587724197204525245,0.849493,0.378243,0.534989,0.511149,-1106.98096,-543.650696,-1.144799E4,8.064912,3.439773,45.862835,2.542391,7.822366
587724197204525250,0.968697,0.398934,0.895447,0.871813,-3529.43115,-203.293564,-1.590725E4,9.091246,2.636822,9.626897,2.386477,18.467091
587724197204525264,1.086349,0.435114,0.675518,0.682504,-1260.44458,-25.437824,-8141.7334,5.686504,1.821034,8.785833,2.36198,3.477299
587724197204525277,0.612423,0.350335,0.546178,0.544569,-224.46846,-2165.52002,-1.876348E4,7.558492,3.418124,81.800262,2.283686,19.565134
587724197204525280,0.446201,0.250049,0.944165,0.903456,-802.098267,-2895.7832,-2.171021E4,9.129089,4.978628,192.960388,2.177316,25.017576
587724197204525289,0.770836,0.365477,0.52673,0.566317,-324.899261,-15.691662,-3902.31812,4.541302,1.66072,11.193165,2.341342,1.101869
587724197204525318,0.56679,0.309961,0.497332,0.514622,-116.297173,-752.708008,-6343.81689,7.899001,3.707352,127.761009,2.158543,1.592578
587724197204590780,0.39085,0.246933,0.824148,0.844043,-199.858322,-555.134949,-1.04162E4,8.60292,3.361048,48.305485,2.364679,9.654196
587724197204590800,1.057785,0.393053,0.56506,0.55677,-413.130554,-21.748024,-3580.42603,3.957064,1.387261,8.347677,2.320964,1.768987
587724197204590804,1.047243,0.429598,0.753236,0.820425,-1135.27136,-46.861366,-7379.5791,6.615713,2.207204,10.91116,2.379605,5.960211
587724197204590814,1.039572,0.408531,0.796699,0.818623,-592.662231,-137.084839,-3272.36084,4.306531,1.885496,9.705342,2.423926,2.973126
587724197204656296,0.51985,0.346275,0.608736,0.620191,-225.036346,-675.80072,-1.335628E4,5.154897,2.193439,27.261528,2.350386,14.943109
587724197204721855,1.003752,0.42943,0.869239,0.907943,-676.146301,-51.98148,-3283.28784,5.855941,1.820339,8.267628,2.314812,3.698123
587724197204721868,0.803417,0.388383,0.756417,0.775244,-1.348845E4,-861.79425,-5.278936E4,12.303349,3.734648,13.875951,2.453949,299.930511
587724197204721900,1.084909,0.439667,0.932608,0.909698,-3078.93579,-130.286102,-1.601259E4,11.862425,3.574859,15.072272,2.396909,8.841648
587724197204787205,0.177191,0.170259,0.856192,0.857651,-1056.8988,-81.959518,-1.266383E4,4.437304,1.611393,12.141582,2.282317,12.523281
587724197204787274,0.654873,0.393667,0.43502,0.447386,-62.898014,-597.24707,-6130.78662,5.210177,2.431601,52.302357,2.181612,2.589646
587724197204918335,0.853909,0.408266,0.790896,0.823279,-1255.32666,-7.001151,-1.018614E4,6.169562,1.9786,12.375277,2.348769,1.223781
587724197204918453,1.124145,0.456457,0.711728,0.728817,-5166.87793,-337.228333,-2.699791E4,14.669926,4.789625,21.3465,2.408409,13.374486
587724197204983844,0.814661,0.391865,0.733778,0.757744,-3095.60645,-133.841049,-1.557043E4,9.172084,3.002591,14.220431,2.408897,12.720668
587724197204983886,0.826151,0.45167,0.769503,0.730001,-1615.00269,-852.718201,-9078.33203,8.109971,3.740071,48.754696,2.665389,15.204464
587724197204983908,0.855358,0.418154,0.76355,0.829297,-1138.49536,-27.107199,-9317.90723,4.068294,1.459927,8.883947,2.313424,2.694356
587724197204983924,0.778332,0.426521,0.658964,0.678333,-304.63681,-606.936584,-8423.65137,6.138513,2.849201,48.829689,2.378989,11.068591
587724197205049459,0.762321,0.366651,0.777886,0.823624,-7760.81641,-830.762146,-3.082523E4,11.546323,3.617162,11.836538,2.451066,131.668381
587724197205049496,0.673117,0.363249,0.499984,0.513943,-7.813219,-544.118103,-5549.62158,6.76017,2.980168,67.213173,2.231696,3.159443
587724197205115017,0.392727,0.221975,0.517667,0.546997,-203.784836,-427.137146,-6956.63477,8.07767,3.495176,63.937935,2.425725,4.164425
587724197205115036,0.851908,0.371718,0.313063,0.362377,-1748.04248,-181.925903,-1.733386E4,4.948202,1.71984,12.840548,2.336274,18.388065
587724197205246079,1.116035,0.40172,0.654329,0.667635,-540.213867,-25.869335,-2668.81494,4.611771,1.491888,7.506591,2.300357,2.230215
587724197205311622,1.368099,0.51701,0.69036,0.724985,-817.748169,-52.223949,-4386.93604,8.726135,2.679519,11.7263,2.371976,2.088503
587724197205311657,0.955101,0.399456,0.841814,0.860702,-520.477417,-22.038771,-5465.57373,5.433801,1.857758,11.883183,2.367972,1.507746
587724197205311721,0.484627,0.205185,0.469818,0.556114,-247.761093,-353.807281,-2438.80249,6.369227,3.77975,210.042313,2.432444,1.548313
587724197205311730,1.234282,0.454422,0.587442,0.579361,-647.094543,-62.707039,-6891.87598,12.8932,4.629141,46.309101,2.521163,0.422139
587724197205377060,0.925623,0.492182,0.317924,0.351914,-4996.02441,-411.133667,-3.519534E4,12.349506,4.128446,32.70137,2.479488,23.382353
587724197205442739,0.598843,0.342724,0.441816,0.433131,-48.517784,-674.399292,-6074.71094,5.823988,2.513945,50.605255,2.124414,2.237166
587724197205508227,0.258196,0.225355,0.350938,0.362398,-241.018051,-388.523895,-5528.16846,6.483484,2.670215,36.759785,2.274267,2.914937
587724197205508242,0.473572,0.327106,0.466205,0.477686,-120.121857,-177.555222,-4158.54297,4.116895,1.578346,14.006805,2.228048,2.646046
587724197205508265,0.818304,0.36722,0.395259,0.437276,-337.286072,-86.089958,-4836.4126,4.173465,1.580599,12.42372,2.335499,3.392122
587724197205508296,0.75095,0.448854,0.154149,0.189881,-75.977768,-697.655823,-5527.19043,7.009793,3.277709,132.29866,2.071796,4.317822
587724197205573681,0.880148,0.418003,0.881848,0.812235,-1.860116E4,-1124.48364,-8.623707E4,16.255617,5.171487,26.732086,2.444979,77.50618
587724197205573767,0.801466,0.373991,0.387534,0.428267,-117.580513,-251.735016,-7094.729,5.242539,2.056652,25.98307,2.278067,7.010452
587724197205573779,0.955708,0.509605,0.303545,0.364875,-4446.27637,-834.623901,-2.894687E4,11.034813,3.190133,23.650564,2.423068,53.500027
587724197205573794,0.831474,0.384617,0.275045,0.30205,-419.151581,-137.90451,-9016.68848,5.740566,2.004433,21.794815,2.283101,7.877996
587724197205573815,0.833477,0.38858,0.513758,0.530972,-1232.66113,-110.63369,-8682.80371,5.556196,1.951615,11.894944,2.358947,4.039572
587724197205639247,0.781213,0.377429,0.709331,0.791073,-3.233315E4,-3644.55835,-1.031772E5,10.679906,3.235036,13.615694,2.350562,2180.19385
587724197205639298,0.461744,0.279631,0.534415,0.55378,-162.545273,-900.855835,-9249.37012,8.942355,4.315664,158.790039,2.302596,3.150054
587724197205639341,0.834764,0.385929,0.515879,0.539865,-412.518829,-19.764347,-3589.72998,3.233704,1.126828,6.427304,2.247476,1.324137
587724197205704877,0.588615,0.375204,0.27642,0.325056,-13.26166,-305.014343,-4450.79785,6.146661,2.480746,51.525707,2.201229,0.458857
587724197205770372,0.657999,0.455242,0.474214,0.505509,-81.376534,-123.056999,-4276.78613,3.727892,1.377837,11.302754,2.209424,3.56725
587724197205770386,0.376097,0.247326,0.572743,0.591976,-245.965668,-992.199036,-1.091446E4,9.524343,4.822765,164.176514,2.347698,5.210174
587724197205770421,1.035278,0.421951,0.795067,0.734709,-3327.47681,-867.615662,-1.546072E4,7.075696,2.86986,12.430442,2.428698,39.170662
587724197205770423,0.873766,0.405043,0.709425,0.772388,-1431.04456,-116.773712,-6352.82764,4.850429,1.698883,6.984781,2.356032,9.248858
587724197205770427,0.840733,0.419026,0.536773,0.555791,-6395.30615,-246.788269,-4.26278E4,8.22175,2.597658,16.221682,2.389113,33.767937
587724197205770528,0.424185,0.221743,0.902665,0.94547,-44.185181,-285.433868,-2462.84741,6.99671,3.827504,122.326111,2.210907,0.366221
587724197205835845,0.932907,0.414402,0.708836,0.695147,-737.864807,-53.01899,-7859.3667,3.716685,1.298675,8.472979,2.239331,6.097088
587724197205835909,0.618523,0.351587,0.149954,0.176543,-9.105125,-499.320374,-6233.86719,7.768494,3.214291,112.650719,2.182935,0.898088
587724197205835936,1.048027,0.442854,0.772711,0.772461,-628.890686,-27.354031,-3449.51758,7.843429,2.419886,10.434632,2.346838,1.956236
587724197205835940,0.780222,0.355849,0.928321,0.908498,-2259.27783,-77.872261,-1.297196E4,6.40932,1.991331,10.448851,2.32659,4.727295
587724197205901456,0.533357,0.307526,0.889396,0.878251,-1484.30408,-552.972778,-2.178034E4,7.537516,2.869416,27.699068,2.481288,11.932665
587724197205901467,0.710852,0.452684,0.27264,0.2932,-67.330734,-1424.66479,-1.351099E4,6.113479,2.522336,56.76078,2.158014,3.606097
587724197205901558,0.424286,0.255629,0.571421,0.593405,-54.201393,-104.701897,-2085.68091,8.180077,4.049565,106.615227,2.493014,1.089913
587724197205967028,1.142258,0.490837,0.675773,0.679521,-1034.71069,-81.135521,-6114.85742,6.37137,2.154063,10.764525,2.381759,3.316933
587724197205967035,0.759766,0.371382,0.755651,0.779918,-102.166603,-281.939026,-4736.69775,4.978904,2.237446,31.370861,2.319293,5.590104
587724197206032534,1.002399,0.449875,0.602314,0.631869,-847.217773,-421.48526,-7731.75635,8.558175,3.810018,51.576668,2.603535,3.146694
587724197206032583,0.50881,0.296377,0.635959,0.6876,-17.001154,-105.443207,-2428.98926,6.516478,2.953581,50.94516,2.340061,0.750511
587724197206294600,0.383717,0.230476,0.849943,0.857391,-30.53285,-397.953827,-4071.45117,4.69957,2.114618,32.060879,2.190671,1.533924
